barrio,tipo_gral,anio,mes,franja_grupo,cantidad_crimenes
AGRONOMIA,Crimenes Violentos,2021,7,3,1
AGRONOMIA,Crimenes Violentos,2021,8,4,3
AGRONOMIA,Crimenes Violentos,2021,9,2,1
AGRONOMIA,Crimenes Violentos,2021,9,3,1
AGRONOMIA,Crimenes Violentos,2021,9,4,3
AGRONOMIA,Crimenes Violentos,2021,10,2,1
AGRONOMIA,Crimenes Violentos,2021,10,3,1
AGRONOMIA,Crimenes Violentos,2021,10,4,4
AGRONOMIA,Crimenes Violentos,2021,11,1,1
AGRONOMIA,Crimenes Violentos,2021,11,2,2
AGRONOMIA,Crimenes Violentos,2021,11,3,3
AGRONOMIA,Crimenes Violentos,2021,11,4,2
AGRONOMIA,Crimenes Violentos,2021,12,1,1
AGRONOMIA,Crimenes Violentos,2021,12,2,1
AGRONOMIA,Crimenes Violentos,2021,12,3,1
AGRONOMIA,Crimenes Violentos,2022,1,1,1
AGRONOMIA,Crimenes Violentos,2022,1,3,1
AGRONOMIA,Crimenes Violentos,2022,1,4,2
AGRONOMIA,Crimenes Violentos,2022,2,2,3
AGRONOMIA,Crimenes Violentos,2022,2,3,3
AGRONOMIA,Crimenes Violentos,2022,2,4,2
AGRONOMIA,Crimenes Violentos,2022,3,1,1
AGRONOMIA,Crimenes Violentos,2022,3,2,5
AGRONOMIA,Crimenes Violentos,2022,3,3,1
AGRONOMIA,Crimenes Violentos,2022,3,4,1
AGRONOMIA,Crimenes Violentos,2022,4,1,2
AGRONOMIA,Crimenes Violentos,2022,4,2,1
AGRONOMIA,Crimenes Violentos,2022,4,3,3
AGRONOMIA,Crimenes Violentos,2022,4,4,2
AGRONOMIA,Crimenes Violentos,2022,5,3,3
AGRONOMIA,Crimenes Violentos,2022,5,4,1
AGRONOMIA,Crimenes Violentos,2022,6,2,1
AGRONOMIA,Crimenes Violentos,2022,6,3,2
AGRONOMIA,Crimenes Violentos,2022,6,4,4
AGRONOMIA,Crimenes Violentos,2022,7,1,1
AGRONOMIA,Crimenes Violentos,2022,8,2,2
AGRONOMIA,Crimenes Violentos,2022,8,4,2
AGRONOMIA,Crimenes Violentos,2022,9,1,2
AGRONOMIA,Crimenes Violentos,2022,9,2,2
AGRONOMIA,Crimenes Violentos,2022,9,3,2
AGRONOMIA,Crimenes Violentos,2022,9,4,2
AGRONOMIA,Crimenes Violentos,2022,10,3,1
AGRONOMIA,Crimenes Violentos,2022,10,4,2
